movie,processed_movie,expanded-genres,Associated Music Genres
   The Lion in Winter (1968),the lion in winter,"Biography, Drama, History","acoustic,country,folk,piano,ambient,classical,pop,epic,singer-songwriter,rock,indie-pop,world-music,opera,alternative,symphony,indie"
   The Patriot (2000),the patriot,"Action, Drama, History","piano,epic,indie-pop,opera,rock,dubstep,singer-songwriter,acoustic,ambient,hard-rock,metal,world-music,electronic,classical,punk,drum-and-bass,alternative,symphony,indie"
   The Personal History of David Copperfield,the personal history of david copperfield,,
   Cheaper by the Dozen (Franchise),cheaper by the dozen,"Adventure, Comedy, Family","acoustic,folk,ambient,upbeat,children,pop,singer-songwriter,kids,new-age,alternative,world-music,rock,fun"
   The Princess Switch (2018),the princess switch,"Comedy, Drama, Family","acoustic,piano,folk,children,pop,singer-songwriter,rock,indie-pop,kids,alternative,upbeat,indie,fun"
   Interstella 5555: The 5tory of the 5ecret 5tar 5ystem (2003),interstella 5555: the 5tory of the 5ecret 5tar 5ystem,"Animation, Adventure, Music","acoustic,jazz,folk,ambient,funk,blues,pop,hip-hop,new-age,alternative,world-music,r-n-b,rock,soul"
   Accepted (2006),accepted,,
   The House Bunny,the house bunny,,
   The Outsiders (1983),the outsiders,"Crime, Drama","acoustic,piano,reggae,dubstep,singer-songwriter,trap,rock,indie-pop,drum-and-bass,grime,hip-hop,alternative,electronic,indie"
   Artemis Fowl (2020),artemis fowl,"Adventure, Family, Fantasy","acoustic,folk,ambient,upbeat,children,pop,epic-fantasy,singer-songwriter,soundtrack,kids,new-age,alternative,world-music,rock,fun"
   Malibu’s Most Wanted (2003),malibu’s most wanted,,
   Hollywood (miniserie),hollywood,"Comedy, Sci-Fi","ambient,synth-pop,retro,synthwave,space,chill,electronic"
   Vikram Vedha,vikram vedha,"Action, Crime, Drama","acoustic,piano,punk,reggae,dubstep,hard-rock,alternative,singer-songwriter,trap,indie-pop,drum-and-bass,grime,hip-hop,rock,metal,electronic,indie"
   The Adventures of Buratino (Priklyucheniya Buratino; 1976),the adventures of buratino,"Family, Adventure, Animation","acoustic,folk,ambient,children,pop,singer-songwriter,kids,world-music,new-age,alternative,upbeat,rock,fun"
   Brokeback Mountain (2005),brokeback mountain,"Drama, Romance","acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   Monty Python's Life of Brian (1979),monty python's life of brian,,
   Romeo and Juliet: Sealed with a Kiss,romeo and juliet: sealed with a kiss,,
   Love The Coopers,love the coopers,"Comedy, Fantasy, Romance","indie,folk,ambient,romantic,soundtrack,epic-fantasy,pop,singer-songwriter,alternative,world-music,r-n-b,rock,soul"
   Hana and Alice (2004),hana and alice,,
   Death Note: Light Up the NEW World,death note: light up the new world,"Crime, Drama, Horror","piano,indie-pop,darkwave,dubstep,singer-songwriter,grime,noise,dark-ambient,acoustic,reggae,ambient,trap,metal,electronic,alternative,drum-and-bass,hip-hop,rock,indie,industrial"
   Stardust (2007 film),stardust,"Biography, Drama, Music","acoustic,country,folk,piano,jazz,funk,blues,pop,singer-songwriter,rock,indie-pop,hip-hop,alternative,r-n-b,indie,soul"
   A Face in the Crowd (1957),a face in the crowd,,
   Gangs of New York (2002),gangs of new york,"Crime, Drama","acoustic,piano,reggae,dubstep,singer-songwriter,trap,rock,indie-pop,drum-and-bass,grime,hip-hop,alternative,electronic,indie"
   The Gold Rush (1925),the gold rush,"Adventure, Comedy, Drama","acoustic,indie,folk,ambient,piano,singer-songwriter,indie-pop,new-age,alternative,world-music,rock"
   The King of Staten Island (2020),the king of staten island,,
   Wanted (2008),wanted,"Action, Crime, Thriller","punk,reggae,dubstep,hard-rock,ambient,synthwave,trap,drum-and-bass,dark-ambient,grime,hip-hop,rock,metal,chill,electronic"
   On the Rocks (2020),on the rocks,"Comedy, Drama, Romance","acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   Valley Girl (1983),valley girl,"Comedy, Romance","folk,romantic,pop,singer-songwriter,r-n-b,indie,soul"
   Aliens in the Attic,aliens in the attic,"Adventure, Comedy, Family","acoustic,folk,ambient,upbeat,children,pop,singer-songwriter,kids,new-age,alternative,world-music,rock,fun"
   Bacurau (2019),bacurau,"Action, Adventure, Drama","acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,piano,singer-songwriter,indie-pop,drum-and-bass,new-age,rock,metal,world-music,electronic,indie"
   Closet monster,closet monster,"Drama, Fantasy, Mystery","acoustic,piano,folk,ambient,chill,trip-hop,epic-fantasy,singer-songwriter,soundtrack,synthwave,rock,indie-pop,downtempo,alternative,dark-ambient,world-music,electronic,indie"
   Four Weddings and a Funeral (1994),four weddings and a funeral,"Comedy, Drama, Romance","acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   Re-Animated (2006),re-animated,,
   Wilde (1997),wilde,"Biography, Drama, Romance","acoustic,country,folk,piano,pop,romantic,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   Another Cinderella Story (2008),another cinderella story,,
   A Vida Invisível,a vida invisível,,
   Pet (2016),pet,"Horror, Thriller","darkwave,ambient,dubstep,synthwave,drum-and-bass,dark-ambient,noise,metal,chill,electronic,industrial"
   Jack and the Cuckoo-clock Heart,jack and the cuckoo-clock heart,,
   Fear (1996),fear,Action,"punk,dubstep,hard-rock,drum-and-bass,rock,metal,electronic"
   The Hours (2002),the hours,"Drama, Romance","acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   The Bromley Boys (2018),the bromley boys,,
   The Philadelphia Story,the philadelphia story,"Comedy, Romance","folk,romantic,pop,singer-songwriter,r-n-b,indie,soul"
   Happy Together,happy together,"Drama, Romance","acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   Hoje Eu Quero Voltar Sozinho (The Way He Looks),hoje eu quero voltar sozinho,,
   Little Women (2019),little women,"Drama, Family, Romance","acoustic,piano,folk,children,pop,romantic,singer-songwriter,rock,indie-pop,kids,alternative,upbeat,r-n-b,indie,fun,soul"
   Ma Rainey's Black Bottom (2020),ma rainey's black bottom,,
   It's Kind of a Funny Story (2010),it's kind of a funny story,"Comedy, Drama, Romance","acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   The Hole (2001),the hole,"Fantasy, Thriller","folk,ambient,chill,dubstep,soundtrack,epic-fantasy,synthwave,drum-and-bass,alternative,dark-ambient,world-music,electronic,rock"
"   The Umbrellas of Cherbourg (Les Parapluies de Cherbourg, 1964)",the umbrellas of cherbourg,"Drama, Musical, Romance","acoustic,piano,folk,pop,romantic,singer-songwriter,rock,indie-pop,alternative,dance,r-n-b,indie,musical-theatre,soul"
   17 Again (2009),17 again,"Comedy, Drama, Fantasy","acoustic,piano,folk,ambient,epic-fantasy,singer-songwriter,soundtrack,rock,indie-pop,alternative,world-music,indie"
   Carnal Knowledge (1971),carnal knowledge,,
   27 Dresses (2008),27 dresses,"Comedy, Romance","folk,romantic,pop,singer-songwriter,r-n-b,indie,soul"
   Liz and the Blue Bird (Liz to Aoi Tori),liz and the blue bird,"Animation, Drama, Fantasy","acoustic,piano,folk,ambient,epic-fantasy,singer-songwriter,soundtrack,rock,indie-pop,alternative,world-music,indie"
"   Merry Christmas, Mr. Lawrence","merry christmas, mr. lawrence",,
   Blended (2014),blended,"Comedy, Romance","folk,romantic,pop,singer-songwriter,r-n-b,indie,soul"
   D.E.B.S. (2004),d.e.b.s.,"Action, Comedy, Romance","folk,punk,r-n-b,dubstep,hard-rock,romantic,pop,singer-songwriter,drum-and-bass,rock,metal,electronic,indie,soul"
   The Leaves (ฺBai Mai Tee Plid Plew),the leaves,,
   Animal House,animal house,,
   Mahabharat,mahabharat,"Animation, Action, Adventure","acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,drum-and-bass,new-age,rock,metal,world-music,electronic"
   Knocked Up (2007),knocked up,"Comedy, Romance","folk,romantic,pop,singer-songwriter,r-n-b,indie,soul"
   Ocean's 8 (2018),ocean's 8,,
"   I Love You, Man (2009)","i love you, man","Comedy, Romance","folk,romantic,pop,singer-songwriter,r-n-b,indie,soul"
   Monster (2003),monster,"Action, Adventure, Crime","acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,reggae,trap,drum-and-bass,grime,hip-hop,new-age,rock,metal,world-music,electronic"
   The Final Girls,the final girls,"Comedy, Crime, Fantasy","folk,reggae,ambient,dubstep,epic-fantasy,soundtrack,trap,drum-and-bass,grime,hip-hop,alternative,world-music,electronic,rock"
   Disney sleepy hollow.,disney sleepy hollow.,,
   The world of Kanako (Kawaki),the world of kanako,"Drama, Mystery, Thriller","acoustic,piano,chill,ambient,dubstep,singer-songwriter,synthwave,rock,indie-pop,downtempo,drum-and-bass,alternative,dark-ambient,trip-hop,electronic,indie"
   Ken Park (2002),ken park,,
   Josie and the Pussycats (2001),josie and the pussycats,,
   Barbie and the 12 Dancing Princesses (2006),barbie and the 12 dancing princesses,,
   This Is the End (2013),this is the end,"Comedy, Fantasy","folk,ambient,soundtrack,epic-fantasy,alternative,world-music,rock"
   Small Time,small time,"Comedy, Crime","reggae,dubstep,trap,drum-and-bass,grime,hip-hop,electronic"
   Being Charlie,being charlie,"Drama, Romance","acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   The Wedding Singer (1998),the wedding singer,"Comedy, Music, Romance","jazz,folk,funk,blues,pop,romantic,singer-songwriter,hip-hop,r-n-b,indie,soul"
   Rescue Dawn (2006),rescue dawn,"Adventure, Biography, War","acoustic,indie,folk,ambient,country,patriotic,punk,pop,soundtrack,singer-songwriter,indie-pop,new-age,alternative,metal,world-music,rock"
   She's Out of My League,she's out of my league,"Comedy, Romance","folk,romantic,pop,singer-songwriter,r-n-b,indie,soul"
   Surviving Christmas,surviving christmas,"Comedy, Romance","folk,romantic,pop,singer-songwriter,r-n-b,indie,soul"
   Baby's Day Out,baby's day out,"Adventure, Comedy, Crime","acoustic,folk,ambient,reggae,dubstep,trap,drum-and-bass,grime,hip-hop,new-age,alternative,world-music,electronic,rock"
   Bully (2001),bully,"Biography, Crime, Drama","acoustic,country,folk,reggae,piano,dubstep,pop,singer-songwriter,trap,rock,indie-pop,drum-and-bass,grime,hip-hop,alternative,electronic,indie"
   The Martian (2015),the martian,"Adventure, Drama, Sci-Fi","acoustic,indie,folk,ambient,piano,chill,synth-pop,singer-songwriter,synthwave,retro,indie-pop,space,new-age,alternative,world-music,electronic,rock"
   I killed my mother,i killed my mother,"Drama, Romance","acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   Runaway Bride (1999),runaway bride,"Comedy, Romance","folk,romantic,pop,singer-songwriter,r-n-b,indie,soul"
   İstanbul Kanatlarımın Altında (1996),i̇stanbul kanatlarımın altında,,
   Bratz: The Movie (2007),bratz: the movie,,
   Dreamgirls (2006),dreamgirls,,
   The Five Year Engagement,the five year engagement,,
   Stargate (1994),stargate,"Action, Adventure, Sci-Fi","acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,chill,synth-pop,retro,synthwave,drum-and-bass,space,new-age,rock,metal,world-music,electronic"
   The Bling Ring (2013),the bling ring,"Biography, Crime, Drama","acoustic,country,folk,reggae,piano,dubstep,pop,singer-songwriter,trap,rock,indie-pop,drum-and-bass,grime,hip-hop,alternative,electronic,indie"
   Snowden (2016),snowden,"Biography, Crime, Drama","acoustic,country,folk,reggae,piano,dubstep,pop,singer-songwriter,trap,rock,indie-pop,drum-and-bass,grime,hip-hop,alternative,electronic,indie"
   Ferdinand (Olé el Viaje de Ferdinand),ferdinand,"Animation, Adventure, Comedy","acoustic,folk,ambient,new-age,alternative,world-music,rock"
   Cinderela Pop,cinderela pop,,
   O Cavaleiro Didi e a Princesa Lili (2006),o cavaleiro didi e a princesa lili,,
   From Prada to Nada (2011),from prada to nada,"Action, Comedy, Drama","acoustic,piano,punk,dubstep,hard-rock,alternative,singer-songwriter,indie-pop,drum-and-bass,rock,metal,electronic,indie"
   Barbie: Star Light Adventure,barbie: star light adventure,"Animation, Family, Sci-Fi","folk,ambient,chill,children,pop,synth-pop,singer-songwriter,synthwave,retro,kids,space,upbeat,electronic,fun"
   Frankenweenie (2012),frankenweenie,"Animation, Comedy, Drama","acoustic,piano,singer-songwriter,rock,indie-pop,alternative,indie"
   Clouds (2020),clouds,"Biography, Drama, Music","acoustic,country,folk,piano,jazz,funk,blues,pop,singer-songwriter,rock,indie-pop,hip-hop,alternative,r-n-b,indie,soul"
   Sleeping with the Enemy,sleeping with the enemy,"Drama, Thriller","acoustic,piano,ambient,dubstep,singer-songwriter,synthwave,rock,indie-pop,drum-and-bass,alternative,dark-ambient,chill,electronic,indie"
   The Pink Panther (film series),the pink panther,"Adventure, Comedy, Crime","acoustic,folk,ambient,reggae,dubstep,trap,drum-and-bass,grime,hip-hop,new-age,alternative,world-music,electronic,rock"
   Suite Française (2015),suite française,"Drama, Romance, Thriller","piano,pop,indie-pop,folk,dubstep,singer-songwriter,synthwave,dark-ambient,acoustic,ambient,chill,electronic,alternative,romantic,drum-and-bass,rock,r-n-b,indie,soul"
   Charming (2018),charming,"Animation, Adventure, Comedy","acoustic,folk,ambient,new-age,alternative,world-music,rock"
   Carrie (2013),carrie,"Horror, Mystery","darkwave,chill,ambient,synthwave,downtempo,dark-ambient,noise,metal,trip-hop,electronic,industrial"
   The Aftermath (2019),the aftermath,"Horror, Sci-Fi, Thriller","darkwave,ambient,dubstep,synth-pop,retro,synthwave,space,drum-and-bass,dark-ambient,noise,metal,chill,electronic,industrial"
   Becoming Jane (2007),becoming jane,"Biography, Drama, Romance","acoustic,country,folk,piano,pop,romantic,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   Liar Liar (1997),liar liar,"Comedy, Fantasy","folk,ambient,soundtrack,epic-fantasy,alternative,world-music,rock"
   The Secret Life of Bees (2008),the secret life of bees,,
   The Informer,the informer,"Action, Crime, Drama","acoustic,piano,punk,reggae,dubstep,hard-rock,alternative,singer-songwriter,trap,indie-pop,drum-and-bass,grime,hip-hop,rock,metal,electronic,indie"
   WALL·E (2008),wall·e,"Animation, Adventure, Family","acoustic,folk,ambient,upbeat,children,pop,singer-songwriter,kids,new-age,alternative,world-music,rock,fun"
   That Thing You Do! (1996),that thing you do!,,
   Snow White and the Seven Dwarfs (1937),snow white and the seven dwarfs,"Animation, Adventure, Family","acoustic,folk,ambient,upbeat,children,pop,singer-songwriter,kids,new-age,alternative,world-music,rock,fun"
   Mean Girls (2004),mean girls,,
   The Breakfast Club (1985),the breakfast club,,
   Hercules (1997),hercules,"Action, Adventure, Fantasy","acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,epic-fantasy,soundtrack,drum-and-bass,new-age,rock,metal,world-music,electronic"
   Parasite (2019),parasite,"Horror, Sci-Fi","darkwave,ambient,synth-pop,retro,synthwave,space,dark-ambient,noise,metal,chill,electronic,industrial"
   Madagascar (Franchise),madagascar,"Animation, Adventure, Comedy","acoustic,folk,ambient,new-age,alternative,world-music,rock"
   Lilo & Stitch (2002),lilo & stitch,"Animation, Adventure, Comedy","acoustic,folk,ambient,new-age,alternative,world-music,rock"
   It,it,Horror,"darkwave,ambient,dark-ambient,noise,metal,electronic,industrial"
   Peter Pan (1953),peter pan,"Adventure, Family, Fantasy","acoustic,folk,ambient,upbeat,children,pop,epic-fantasy,singer-songwriter,soundtrack,kids,new-age,alternative,world-music,rock,fun"
   Inside Out (2015),inside out,"Animation, Adventure, Comedy","acoustic,folk,ambient,new-age,alternative,world-music,rock"
   Knives Out (2019),knives out,"Comedy, Crime, Drama","acoustic,piano,reggae,dubstep,singer-songwriter,trap,rock,indie-pop,drum-and-bass,grime,hip-hop,alternative,electronic,indie"
   Divergent,divergent,"Action, Adventure, Mystery","acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,chill,synthwave,downtempo,drum-and-bass,dark-ambient,new-age,rock,metal,world-music,electronic,trip-hop"
   Alvin And The Chipmunks (2007),alvin and the chipmunks,"Animation, Adventure, Comedy","acoustic,folk,ambient,new-age,alternative,world-music,rock"
   10 Things I Hate About You (1999),10 things i hate about you,"Comedy, Drama, Romance","acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   The Notebook (2004),the notebook,"Drama, War","acoustic,piano,punk,patriotic,soundtrack,singer-songwriter,rock,indie-pop,alternative,metal,world-music,indie"
   Rise of the Guardians (2012),rise of the guardians,"Animation, Action, Adventure","acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,drum-and-bass,new-age,rock,metal,world-music,electronic"
   Indiana Jones,indiana jones,,
   Onward (2020),onward,"Animation, Adventure, Comedy","acoustic,folk,ambient,new-age,alternative,world-music,rock"
   Star Trek (Kelvin Timeline),star trek,"Action, Adventure, Sci-Fi","acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,chill,synth-pop,retro,synthwave,drum-and-bass,space,new-age,rock,metal,world-music,electronic"
   Bee Movie (2007),bee movie,"Animation, Adventure, Comedy","acoustic,folk,ambient,new-age,alternative,world-music,rock"
   12 Angry Men (1957),12 angry men,"Crime, Drama","acoustic,piano,reggae,dubstep,singer-songwriter,trap,rock,indie-pop,drum-and-bass,grime,hip-hop,alternative,electronic,indie"
   American Psycho (2000),american psycho,"Crime, Drama, Horror","piano,indie-pop,darkwave,dubstep,singer-songwriter,grime,noise,dark-ambient,acoustic,reggae,ambient,trap,metal,electronic,alternative,drum-and-bass,hip-hop,rock,indie,industrial"
   What We Do in the Shadows (2014),what we do in the shadows,"Comedy, Horror","darkwave,ambient,dark-ambient,noise,metal,electronic,industrial"
   When Harry Met Sally... (1989),when harry met sally...,"Comedy, Drama, Romance","acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   Goodfellas (1990),goodfellas,"Biography, Crime, Drama","acoustic,country,folk,reggae,piano,dubstep,pop,singer-songwriter,trap,rock,indie-pop,drum-and-bass,grime,hip-hop,alternative,electronic,indie"
   Sweeney Todd: The Demon Barber of Fleet Street (2007),sweeney todd: the demon barber of fleet street,"Drama, Horror, Musical","piano,pop,indie-pop,darkwave,singer-songwriter,noise,dark-ambient,acoustic,ambient,metal,electronic,alternative,industrial,rock,dance,r-n-b,indie,musical-theatre,soul"
   Diary of a Wimpy Kid,diary of a wimpy kid,"Animation, Comedy, Drama","acoustic,piano,singer-songwriter,rock,indie-pop,alternative,indie"
   To Kill a Mockingbird (1962),to kill a mockingbird,"Crime, Drama","acoustic,piano,reggae,dubstep,singer-songwriter,trap,rock,indie-pop,drum-and-bass,grime,hip-hop,alternative,electronic,indie"
   Lethal Weapon (Movie Series),lethal weapon,"Action, Crime, Thriller","punk,reggae,dubstep,hard-rock,ambient,synthwave,trap,drum-and-bass,dark-ambient,grime,hip-hop,rock,metal,chill,electronic"
   The Hateful Eight (2015),the hateful eight,"Crime, Drama, Mystery","piano,downtempo,indie-pop,dubstep,singer-songwriter,synthwave,grime,dark-ambient,trip-hop,acoustic,reggae,ambient,trap,chill,electronic,alternative,drum-and-bass,hip-hop,rock,indie"
   The Chronicles of Narnia (Film Trilogy),the chronicles of narnia,,
   Pocahontas (1995),pocahontas,"Animation, Adventure, Drama","acoustic,indie,folk,ambient,piano,singer-songwriter,indie-pop,new-age,alternative,world-music,rock"
   The Room (2003),the room,"Drama, Fantasy, Horror","acoustic,darkwave,piano,folk,ambient,metal,epic-fantasy,singer-songwriter,soundtrack,rock,indie-pop,noise,alternative,dark-ambient,world-music,electronic,indie,industrial"
   Emma. (2020),emma.,"Comedy, Drama, Romance","acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   Stand by Me (1986),stand by me,"Adventure, Drama","acoustic,indie,folk,ambient,piano,singer-songwriter,indie-pop,new-age,alternative,world-music,rock"
   Catch Me If You Can (2002),catch me if you can,"Action, Comedy, Drama","acoustic,piano,punk,dubstep,hard-rock,alternative,singer-songwriter,indie-pop,drum-and-bass,rock,metal,electronic,indie"
   Mulholland Drive (2001),mulholland drive,"Drama, Mystery, Thriller","acoustic,piano,chill,ambient,dubstep,singer-songwriter,synthwave,rock,indie-pop,downtempo,drum-and-bass,alternative,dark-ambient,trip-hop,electronic,indie"
   The Aristocats (1970),the aristocats,"Animation, Adventure, Comedy","acoustic,folk,ambient,new-age,alternative,world-music,rock"
   Ever After: A Cinderella Story,ever after: a cinderella story,"Comedy, Drama, Romance","acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   Groundhog Day (1993),groundhog day,"Comedy, Drama, Fantasy","acoustic,piano,folk,ambient,epic-fantasy,singer-songwriter,soundtrack,rock,indie-pop,alternative,world-music,indie"
   Dead Poets Society (1989),dead poets society,,
   Jojo Rabbit (2019),jojo rabbit,"Comedy, Drama, War","acoustic,piano,punk,patriotic,soundtrack,singer-songwriter,rock,indie-pop,alternative,metal,world-music,indie"
   Green Book (2018),green book,"Biography, Comedy, Drama","acoustic,country,folk,piano,pop,singer-songwriter,rock,indie-pop,alternative,indie"
   Peter Pan (2003),peter pan,"Adventure, Family, Fantasy","acoustic,folk,ambient,upbeat,children,pop,epic-fantasy,singer-songwriter,soundtrack,kids,new-age,alternative,world-music,rock,fun"
   500 Days of Summer (2009),500 days of summer,"Comedy, Drama, Romance","acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   Watchmen (2009),watchmen,"Action, Drama, Mystery","piano,downtempo,indie-pop,rock,dubstep,singer-songwriter,synthwave,dark-ambient,trip-hop,acoustic,ambient,hard-rock,metal,chill,electronic,punk,drum-and-bass,alternative,indie"
   The Silence of the Lambs (1991),the silence of the lambs,"Crime, Drama, Thriller","acoustic,piano,reggae,ambient,dubstep,singer-songwriter,synthwave,trap,rock,indie-pop,drum-and-bass,grime,hip-hop,alternative,dark-ambient,chill,electronic,indie"
   Amadeus (1984),amadeus,"Biography, Drama, Music","acoustic,country,folk,piano,jazz,funk,blues,pop,singer-songwriter,rock,indie-pop,hip-hop,alternative,r-n-b,indie,soul"
   Passengers (2016),passengers,"Drama, Romance, Sci-Fi","piano,pop,indie-pop,folk,synth-pop,singer-songwriter,synthwave,retro,acoustic,ambient,space,chill,electronic,alternative,romantic,rock,r-n-b,indie,soul"
   Little Miss Sunshine (2006),little miss sunshine,,
   I'm Thinking of Ending Things (2020),i'm thinking of ending things,"Drama, Thriller","acoustic,piano,ambient,dubstep,singer-songwriter,synthwave,rock,indie-pop,drum-and-bass,alternative,dark-ambient,chill,electronic,indie"
   Beetlejuice (1988),beetlejuice,"Comedy, Fantasy","folk,ambient,soundtrack,epic-fantasy,alternative,world-music,rock"
   Bird Box (2018),bird box,"Horror, Mystery, Sci-Fi","darkwave,chill,ambient,synth-pop,retro,synthwave,downtempo,space,dark-ambient,noise,metal,trip-hop,electronic,industrial"
   Split (2016),split,"Action, Drama, Sport","acoustic,piano,punk,edm,dubstep,hard-rock,alternative,dance,pop,singer-songwriter,indie-pop,drum-and-bass,pump-up,hip-hop,rock,metal,electronic,indie"
   Clue (1985),clue,"Comedy, Crime, Mystery","chill,reggae,ambient,dubstep,synthwave,trap,downtempo,drum-and-bass,grime,hip-hop,dark-ambient,trip-hop,electronic"
   The Ring (2002),the ring,"Horror, Mystery","darkwave,chill,ambient,synthwave,downtempo,dark-ambient,noise,metal,trip-hop,electronic,industrial"
   Mamma Mia! (2008),mamma mia!,"Comedy, Musical, Romance","folk,pop,romantic,singer-songwriter,dance,r-n-b,indie,musical-theatre,soul"
   Happiest Season (2020),happiest season,,
   Barbie: Princess Charm School,barbie: princess charm school,,
"   Girl, Interrupted (1999)","girl, interrupted","Biography, Drama","acoustic,country,folk,piano,pop,singer-songwriter,rock,indie-pop,alternative,indie"
   Independence Day (1996),independence day,"Action, Adventure, Sci-Fi","acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,chill,synth-pop,retro,synthwave,drum-and-bass,space,new-age,rock,metal,world-music,electronic"
   Persona (1966),persona,"Drama, Thriller","acoustic,piano,ambient,dubstep,singer-songwriter,synthwave,rock,indie-pop,drum-and-bass,alternative,dark-ambient,chill,electronic,indie"
   The Departed (2006),the departed,"Crime, Drama, Thriller","acoustic,piano,reggae,ambient,dubstep,singer-songwriter,synthwave,trap,rock,indie-pop,drum-and-bass,grime,hip-hop,alternative,dark-ambient,chill,electronic,indie"
   Rear Window (1954),rear window,"Mystery, Thriller","ambient,dubstep,synthwave,downtempo,drum-and-bass,dark-ambient,chill,electronic,trip-hop"
   A Cinderella Story (2004),a cinderella story,"Comedy, Family, Romance","folk,children,pop,romantic,singer-songwriter,kids,upbeat,r-n-b,indie,fun,soul"
   The Exorcist (1973),the exorcist,Horror,"darkwave,ambient,dark-ambient,noise,metal,electronic,industrial"
   Saving Private Ryan (1998),saving private ryan,"Drama, War","acoustic,piano,punk,patriotic,soundtrack,singer-songwriter,rock,indie-pop,alternative,metal,world-music,indie"
   28 Days Later (2002),28 days later,"Drama, Horror, Sci-Fi","piano,indie-pop,darkwave,synth-pop,singer-songwriter,synthwave,retro,noise,dark-ambient,acoustic,ambient,space,metal,chill,electronic,alternative,rock,indie,industrial"
   The Imitation Game (2014),the imitation game,"Biography, Drama, Thriller","acoustic,country,folk,piano,ambient,dubstep,pop,singer-songwriter,synthwave,rock,indie-pop,drum-and-bass,alternative,dark-ambient,chill,electronic,indie"
   The Swan Princess (1994),the swan princess,"Animation, Adventure, Comedy","acoustic,folk,ambient,new-age,alternative,world-music,rock"
   Judy (2019),judy,"Biography, Drama, Music","acoustic,country,folk,piano,jazz,funk,blues,pop,singer-songwriter,rock,indie-pop,hip-hop,alternative,r-n-b,indie,soul"
   Spider-Man: Into the Spider-Verse (2018),spider-man: into the spider-verse,,
   Barbie As Rapunzel (2002),barbie as rapunzel,,
   Sherlock Holmes,sherlock holmes,"Action, Adventure, Mystery","acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,chill,synthwave,downtempo,drum-and-bass,dark-ambient,new-age,rock,metal,world-music,electronic,trip-hop"
   Bridesmaids (2011),bridesmaids,"Comedy, Romance","folk,romantic,pop,singer-songwriter,r-n-b,indie,soul"
   Bring It On (franchise),bring it on,"Comedy, Romance, Sport","folk,edm,romantic,pop,singer-songwriter,electronic,pump-up,hip-hop,rock,dance,r-n-b,indie,soul"
   Abominable (2019),abominable,"Animation, Adventure, Comedy","acoustic,folk,ambient,new-age,alternative,world-music,rock"
   District 9 (2009),district 9,"Action, Sci-Fi, Thriller","punk,ambient,dubstep,hard-rock,synth-pop,retro,synthwave,drum-and-bass,space,dark-ambient,rock,metal,chill,electronic"
   The Land Before Time (1988),the land before time,"Animation, Adventure, Drama","acoustic,indie,folk,ambient,piano,singer-songwriter,indie-pop,new-age,alternative,world-music,rock"
   The Texas Chainsaw Massacre (Franchise),the texas chainsaw massacre,"Crime, Horror","darkwave,reggae,ambient,dubstep,metal,trap,drum-and-bass,grime,noise,hip-hop,dark-ambient,electronic,industrial"
   Ingrid Goes West ( 2017),ingrid goes west,,
   Top Gun (1986),top gun,"Action, Drama","acoustic,piano,punk,dubstep,hard-rock,alternative,singer-songwriter,indie-pop,drum-and-bass,rock,metal,electronic,indie"
   Bruce Almighty (2003),bruce almighty,"Comedy, Fantasy","folk,ambient,soundtrack,epic-fantasy,alternative,world-music,rock"
   Leap Year (2010),leap year,"Comedy, Romance","folk,romantic,pop,singer-songwriter,r-n-b,indie,soul"
